year,month,airline_name,airport_code,airport_name,total_arrival_flights,delayed_arrivals_15_plus,estimated_delayed_arrivals_due_to_airline,estimated_delayed_arrivals_due_to_weather,estimated_delayed_arrivals_due_to_nas,estimated_delayed_arrivals_due_to_security,estimated_delayed_arrivals_due_to_late_aircraft,cancelled_arrivals,diverted_arrivals,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
2020,1,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),394,87,27.56,0.18,42.53,0.0,16.73,0,2,3951,1831,7,1298,0,815
2020,1,American Airlines,JFK,John F. Kennedy International Airport (JFK),1309,198,78.14,2.66,68.78,0.12,48.31,4,2,16397,7185,243,3023,2,5944
2020,1,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),2922,321,98.71,4.46,150.03,0.0,67.8,0,3,19880,8266,149,6827,0,4638
2020,1,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1666,195,50.3,5.81,85.38,0.0,53.52,2,0,17962,5883,550,6546,0,4983
2020,1,Envoy Air,JFK,John F. Kennedy International Airport (JFK),334,47,8.04,1.95,20.29,0.54,16.17,10,1,5599,1849,92,1728,19,1911
2020,1,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),31,9,9.0,0.0,0.0,0.0,0.0,0,0,265,265,0,0,0,0
2020,1,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3267,507,162.03,9.89,167.41,1.31,166.36,3,12,35674,12103,1422,9110,88,12951
2020,1,Republic Airline,JFK,John F. Kennedy International Airport (JFK),379,39,12.12,0.91,17.68,0.0,8.29,0,0,2799,1053,221,1176,0,349
2020,2,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),359,57,15.96,0.0,28.38,0.0,12.67,3,0,2481,678,0,711,0,1092
2020,2,American Airlines,JFK,John F. Kennedy International Airport (JFK),1217,150,71.43,1.51,36.8,1.0,39.27,4,0,9160,4695,93,1477,15,2880
2020,2,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),2761,272,91.76,5.68,85.2,0.0,89.37,1,0,17509,9031,315,2616,0,5547
2020,2,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1544,192,35.03,4.82,58.95,0.0,93.2,3,0,15822,3565,440,3032,0,8785
2020,2,Envoy Air,JFK,John F. Kennedy International Airport (JFK),290,38,6.17,0.13,16.25,0.0,15.45,2,0,2433,472,13,767,0,1181
2020,2,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),29,18,18.0,0.0,0.0,0.0,0.0,0,0,741,741,0,0,0,0
2020,2,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3214,393,153.04,3.62,82.79,1.65,151.89,9,3,25753,12917,229,2993,38,9576
2020,2,Republic Airline,JFK,John F. Kennedy International Airport (JFK),350,43,9.64,0.73,17.43,0.0,15.2,1,0,3679,1115,76,675,0,1813
2020,3,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),374,33,10.72,0.0,17.37,0.0,4.9,66,0,1657,803,0,559,0,295
2020,3,American Airlines,JFK,John F. Kennedy International Airport (JFK),1262,76,28.91,1.67,21.71,0.34,23.37,261,2,5725,2259,66,798,26,2576
2020,3,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),3061,198,69.81,1.44,72.97,1.86,51.91,644,6,13624,6215,221,3476,86,3626
2020,3,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1942,103,32.86,1.66,29.95,0.0,38.53,187,1,8187,4097,245,1356,0,2489
2020,3,Envoy Air,JFK,John F. Kennedy International Airport (JFK),308,19,3.52,0.82,7.94,0.0,6.72,87,0,1396,425,23,387,0,561
2020,3,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),29,8,8.0,0.0,0.0,0.0,0.0,4,0,434,434,0,0,0,0
2020,3,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3540,272,91.57,1.72,66.42,1.0,111.29,613,6,17159,6364,125,3443,21,7206
2020,3,Republic Airline,JFK,John F. Kennedy International Airport (JFK),310,20,5.31,0.0,11.23,0.0,3.45,38,0,1079,304,0,422,0,353
2020,4,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),101,0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0
2020,4,American Airlines,JFK,John F. Kennedy International Airport (JFK),409,15,12.55,0.0,0.0,0.0,2.45,261,0,740,529,0,0,0,211
2020,4,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),488,9,6.33,0.0,2.2,0.0,0.47,182,0,435,337,0,48,0,50
2020,4,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),438,12,6.01,0.97,4.18,0.0,0.84,276,0,913,549,142,124,0,98
2020,4,Envoy Air,JFK,John F. Kennedy International Airport (JFK),0,0,,,,,,0,0,0,0,0,0,0,0
2020,4,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1001,20,9.63,1.0,4.59,0.0,4.77,363,0,1156,651,34,121,0,350
2020,4,Piedmont Airlines,JFK,John F. Kennedy International Airport (JFK),8,1,1.0,0.0,0.0,0.0,0.0,3,0,22,22,0,0,0,0
2020,4,Republic Airline,JFK,John F. Kennedy International Airport (JFK),103,0,0.0,0.0,0.0,0.0,0.0,76,0,0,0,0,0,0,0
2020,5,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),69,1,0.0,0.0,1.0,0.0,0.0,0,0,17,0,0,17,0,0
2020,5,American Airlines,JFK,John F. Kennedy International Airport (JFK),87,5,4.0,0.0,1.0,0.0,0.0,0,0,192,175,0,17,0,0
2020,5,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),188,11,9.85,0.0,1.15,0.0,0.0,0,1,614,580,0,34,0,0
2020,5,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),110,4,3.0,0.0,0.0,0.0,1.0,11,0,315,293,0,0,0,22
2020,5,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),502,30,12.33,3.0,10.3,0.0,4.37,62,0,1975,1402,159,298,0,116
2020,5,Republic Airline,JFK,John F. Kennedy International Airport (JFK),35,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2020,6,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),76,4,4.0,0.0,0.0,0.0,0.0,0,0,241,241,0,0,0,0
2020,6,American Airlines,JFK,John F. Kennedy International Airport (JFK),279,21,11.42,1.76,5.82,1.0,1.0,0,0,742,479,89,135,18,21
2020,6,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),498,15,9.99,0.0,3.01,0.0,2.0,1,0,1204,1034,0,49,0,121
2020,6,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),112,0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0
2020,6,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),921,63,30.42,1.0,16.34,0.08,15.16,14,0,3873,2109,48,873,8,835
2020,6,Republic Airline,JFK,John F. Kennedy International Airport (JFK),1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2020,7,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),61,1,0.0,0.0,1.0,0.0,0.0,1,0,18,0,0,18,0,0
2020,7,American Airlines,JFK,John F. Kennedy International Airport (JFK),516,38,14.37,2.77,17.03,0.0,3.83,10,2,2466,1346,444,495,0,181
2020,7,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),971,77,32.56,4.1,30.06,0.41,9.87,45,0,4886,2924,156,1061,60,685
2020,7,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2020,7,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1702,187,66.3,11.22,36.6,0.06,72.81,66,4,12973,5898,621,1492,2,4960
2020,7,Republic Airline,JFK,John F. Kennedy International Airport (JFK),90,2,1.73,0.0,0.27,0.0,0.0,0,0,66,57,0,9,0,0
2020,8,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),110,8,4.45,0.0,3.55,0.0,0.0,2,0,186,106,0,80,0,0
2020,8,American Airlines,JFK,John F. Kennedy International Airport (JFK),412,29,12.18,3.52,9.0,1.0,3.31,4,3,1482,861,104,300,28,189
2020,8,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1380,128,45.66,9.05,53.36,2.0,17.93,19,5,8690,4063,902,2237,41,1447
2020,8,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),247,14,5.59,0.0,3.3,0.0,5.11,7,0,917,495,0,108,0,314
2020,8,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1199,103,32.36,7.99,27.53,0.53,34.58,45,11,6140,2040,566,927,8,2599
2020,8,Republic Airline,JFK,John F. Kennedy International Airport (JFK),92,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2020,9,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),82,5,3.62,0.0,1.38,0.0,0.0,0,0,220,187,0,33,0,0
2020,9,American Airlines,JFK,John F. Kennedy International Airport (JFK),396,22,12.33,1.0,5.66,0.75,2.26,0,0,1201,760,88,207,12,134
2020,9,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1096,34,16.94,1.42,6.27,1.0,8.37,1,0,1778,971,56,144,28,579
2020,9,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),254,6,3.44,0.0,0.0,0.0,2.56,0,0,513,400,0,0,0,113
2020,9,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1024,45,18.17,2.83,12.2,1.0,10.8,15,0,2151,1176,197,360,27,391
2020,9,Republic Airline,JFK,John F. Kennedy International Airport (JFK),211,5,4.0,0.0,1.0,0.0,0.0,0,0,248,227,0,21,0,0
2020,10,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),55,3,2.0,0.0,0.0,0.0,1.0,0,0,175,144,0,0,0,31
2020,10,American Airlines,JFK,John F. Kennedy International Airport (JFK),425,26,11.25,2.0,4.43,1.51,6.8,0,1,1721,686,81,132,73,749
2020,10,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1225,68,33.81,1.76,15.91,0.0,16.52,1,0,7956,5955,239,444,0,1318
2020,10,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),375,7,3.96,0.0,0.17,0.0,2.88,0,0,736,492,0,14,0,230
2020,10,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1262,86,43.78,0.18,8.72,0.29,33.03,3,0,5520,3325,3,247,12,1933
2020,10,Republic Airline,JFK,John F. Kennedy International Airport (JFK),181,7,6.0,0.0,1.0,0.0,0.0,0,0,410,394,0,16,0,0
2020,11,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),58,2,1.0,0.0,1.0,0.0,0.0,0,0,73,58,0,15,0,0
2020,11,American Airlines,JFK,John F. Kennedy International Airport (JFK),334,26,17.18,0.0,8.64,0.0,0.18,0,0,1787,1488,0,260,0,39
2020,11,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1349,96,35.97,1.05,39.66,1.0,18.32,24,2,6947,3491,61,1268,76,2051
2020,11,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),413,20,5.15,0.75,6.11,0.0,7.99,0,3,1645,714,33,195,0,703
2020,11,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1288,120,46.37,1.74,36.56,1.56,33.76,9,5,7684,3043,67,1187,49,3338
2020,11,Republic Airline,JFK,John F. Kennedy International Airport (JFK),205,6,3.36,0.0,1.29,0.0,1.35,0,1,700,536,0,79,0,85
2020,12,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),55,4,0.0,0.0,3.13,0.0,0.88,2,0,143,0,0,122,0,21
2020,12,American Airlines,JFK,John F. Kennedy International Airport (JFK),336,35,20.81,1.86,10.39,0.0,1.93,7,0,3638,2110,568,391,0,569
2020,12,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1391,234,76.06,5.53,107.2,0.72,44.49,45,1,14938,7124,493,3447,36,3838
2020,12,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),269,31,9.92,1.27,12.77,0.0,7.04,10,0,1759,715,64,439,0,541
2020,12,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),8,3,3.0,0.0,0.0,0.0,0.0,0,0,164,164,0,0,0,0
2020,12,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1278,249,78.89,0.0,102.66,1.72,65.73,19,1,15288,4985,0,3480,42,6781
2020,12,Republic Airline,JFK,John F. Kennedy International Airport (JFK),367,38,25.06,0.47,9.53,0.0,2.94,14,0,2513,1483,48,425,0,557
2021,1,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),45,3,1.53,0.0,1.47,0.0,0.0,1,1,60,26,0,34,0,0
2021,1,American Airlines,JFK,John F. Kennedy International Airport (JFK),324,25,12.46,0.0,7.0,2.0,3.54,7,1,933,542,0,171,98,122
2021,1,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1331,121,49.11,1.5,37.54,1.0,31.85,18,0,13538,6951,378,2389,28,3792
2021,1,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),177,15,5.72,0.0,4.4,0.0,4.88,1,0,483,169,0,100,0,214
2021,1,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),14,2,2.0,0.0,0.0,0.0,0.0,0,0,57,57,0,0,0,0
2021,1,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1055,233,88.31,0.99,101.88,1.18,40.64,17,1,11388,4767,73,3233,72,3243
2021,1,Republic Airline,JFK,John F. Kennedy International Airport (JFK),316,23,15.97,0.19,5.98,0.0,0.87,1,0,1969,1707,3,198,0,61
2021,2,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),44,4,2.94,0.0,0.06,0.0,1.0,4,0,311,236,0,12,0,63
2021,2,American Airlines,JFK,John F. Kennedy International Airport (JFK),316,40,23.39,2.96,3.25,2.0,8.39,18,1,5446,1469,3121,131,96,629
2021,2,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1217,110,42.47,7.99,29.9,2.0,27.64,89,4,15692,5740,5151,2057,61,2683
2021,2,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),174,7,2.0,0.92,2.65,0.0,1.43,19,0,1540,221,988,84,0,247
2021,2,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),12,2,2.0,0.0,0.0,0.0,0.0,0,0,176,176,0,0,0,0
2021,2,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1180,269,113.78,5.49,31.89,1.46,116.39,44,4,20887,8032,240,1606,41,10968
2021,2,Republic Airline,JFK,John F. Kennedy International Airport (JFK),339,31,18.87,0.0,6.32,0.05,5.76,47,0,2922,1437,0,1105,5,375
2021,3,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),58,8,5.81,0.0,2.19,0.0,0.0,0,0,383,337,0,46,0,0
2021,3,American Airlines,JFK,John F. Kennedy International Airport (JFK),450,39,22.17,1.87,8.96,0.92,5.07,1,0,2165,1072,83,238,73,699
2021,3,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1591,109,58.02,0.0,23.39,1.0,26.6,5,1,9827,7447,0,839,59,1482
2021,3,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),479,13,6.44,1.0,0.31,1.0,4.25,0,1,1231,502,240,24,26,439
2021,3,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),13,4,4.0,0.0,0.0,0.0,0.0,0,0,155,155,0,0,0,0
2021,3,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1585,173,93.34,0.98,35.02,2.2,41.46,6,4,9188,5163,198,1135,69,2623
2021,3,Republic Airline,JFK,John F. Kennedy International Airport (JFK),398,14,9.91,0.0,2.87,0.0,1.22,0,0,685,471,0,92,0,122
2021,3,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),4,1,0.0,0.0,1.0,0.0,0.0,0,0,15,0,0,15,0,0
2021,4,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),114,10,3.65,1.0,2.39,1.0,1.97,0,0,522,352,34,47,26,63
2021,4,American Airlines,JFK,John F. Kennedy International Airport (JFK),735,83,51.68,0.3,12.37,3.07,15.58,6,0,7958,4870,19,570,127,2372
2021,4,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1577,147,72.6,1.26,25.94,2.86,44.33,21,0,13500,8535,188,1001,349,3427
2021,4,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),494,33,12.12,2.44,4.02,0.0,14.42,0,0,3063,1044,779,170,0,1070
2021,4,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),17,1,1.0,0.0,0.0,0.0,0.0,0,0,41,41,0,0,0,0
2021,4,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1861,298,141.78,12.07,71.48,3.46,69.2,8,0,24026,10812,2783,2819,366,7246
2021,4,Republic Airline,JFK,John F. Kennedy International Airport (JFK),508,28,12.69,1.61,9.65,0.0,4.05,0,0,1444,781,104,317,0,242
2021,4,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),44,5,2.81,0.0,2.11,0.0,0.08,0,1,141,68,0,70,0,3
2021,5,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),114,8,2.7,0.0,5.3,0.0,0.0,1,1,198,89,0,109,0,0
2021,5,American Airlines,JFK,John F. Kennedy International Airport (JFK),841,101,51.7,3.92,23.64,2.04,19.7,1,0,8173,3702,541,886,114,2930
2021,5,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1831,159,87.76,1.71,23.95,4.04,41.54,0,2,16290,10888,209,678,153,4362
2021,5,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),831,56,18.7,1.13,14.95,0.0,21.21,1,0,3993,1751,55,626,0,1561
2021,5,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),24,2,2.0,0.0,0.0,0.0,0.0,0,2,35,35,0,0,0,0
2021,5,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),2319,419,217.0,6.18,89.06,4.76,101.99,2,4,25621,14417,430,2974,301,7499
2021,5,Republic Airline,JFK,John F. Kennedy International Airport (JFK),622,59,28.32,1.09,28.06,0.56,0.98,0,1,3901,3124,29,711,9,28
2021,5,SkyWest Airlines,JFK,John F. Kennedy International Airport (JFK),2,2,1.0,0.0,0.5,0.0,0.5,0,0,60,30,0,15,0,15
2021,5,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),80,2,0.0,0.0,1.0,0.0,1.0,0,0,34,0,0,15,0,19
2021,6,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),114,34,15.31,0.0,15.14,0.0,3.55,0,0,1889,816,0,566,0,507
2021,6,American Airlines,JFK,John F. Kennedy International Airport (JFK),931,232,98.93,12.97,75.54,1.85,42.71,29,6,16523,6339,1997,4419,85,3683
2021,6,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1715,307,110.93,8.9,112.93,0.0,74.24,0,8,27104,12545,2113,5617,0,6829
2021,6,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1225,148,40.48,10.68,52.22,1.0,43.62,7,2,14271,4793,575,4146,18,4739
2021,6,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),30,10,9.94,0.0,0.0,0.0,0.06,0,0,255,254,0,0,0,1
2021,6,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),2749,976,436.44,30.02,209.19,7.3,293.05,17,18,80482,35337,3121,12107,239,29678
2021,6,Republic Airline,JFK,John F. Kennedy International Airport (JFK),781,140,62.52,8.11,50.61,1.67,17.09,10,3,11519,5853,868,3252,47,1499
2021,6,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),84,15,1.95,0.0,12.06,0.0,0.99,0,0,1026,199,0,368,0,459
2021,7,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),133,35,9.25,1.87,23.87,0.0,0.0,1,3,2007,703,87,1217,0,0
2021,7,American Airlines,JFK,John F. Kennedy International Airport (JFK),990,251,82.85,23.09,75.91,3.83,65.32,12,15,20671,6487,1731,5922,263,6268
2021,7,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1791,341,112.73,19.2,104.2,3.96,100.9,4,30,32172,12164,1156,7457,316,11079
2021,7,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1352,210,40.32,13.45,99.44,0.19,56.6,30,9,20873,3598,2004,9355,7,5909
2021,7,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),31,10,8.0,0.0,0.0,0.0,2.0,0,0,344,302,0,0,0,42
2021,7,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3042,1323,480.62,21.64,254.92,6.11,559.71,95,37,139471,48131,3299,20454,369,67218
2021,7,Republic Airline,JFK,John F. Kennedy International Airport (JFK),774,172,67.31,10.57,72.08,0.0,22.04,17,6,11949,5501,1113,3753,0,1582
2021,7,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),122,40,5.12,0.0,29.06,0.0,5.82,5,2,2518,206,0,1353,0,959
2021,8,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),150,37,15.74,1.13,18.24,0.0,1.88,0,2,1660,586,47,792,0,235
2021,8,American Airlines,JFK,John F. Kennedy International Airport (JFK),1035,239,82.48,22.42,73.12,1.4,59.57,16,6,18998,9090,1764,2930,22,5192
2021,8,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1798,303,126.47,10.07,86.04,4.0,76.41,0,3,25344,14780,487,3587,147,6343
2021,8,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1092,138,34.53,9.93,68.4,0.45,24.7,2,2,12171,4705,349,4704,101,2312
2021,8,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),31,9,9.0,0.0,0.0,0.0,0.0,0,0,302,302,0,0,0,0
2021,8,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3046,1019,390.36,19.43,217.85,3.25,388.12,73,16,78365,29985,1314,9911,164,36991
2021,8,Republic Airline,JFK,John F. Kennedy International Airport (JFK),829,169,91.78,9.03,50.06,0.0,18.13,10,2,13715,8944,936,2214,0,1621
2021,8,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),124,31,4.92,0.0,24.39,0.0,1.7,4,0,1277,308,0,690,0,279
2021,9,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),163,32,10.26,0.8,20.03,0.0,0.9,2,4,1228,479,158,572,0,19
2021,9,American Airlines,JFK,John F. Kennedy International Airport (JFK),1046,184,61.99,4.42,67.42,6.19,43.98,11,7,17145,7213,957,5102,328,3545
2021,9,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1656,213,79.51,10.21,62.82,1.0,59.47,18,20,28210,10538,3474,5783,41,8374
2021,9,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1068,105,21.98,8.84,45.43,0.43,28.33,12,0,9111,1210,921,4103,34,2843
2021,9,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),26,7,7.0,0.0,0.0,0.0,0.0,0,0,200,200,0,0,0,0
2021,9,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),2787,687,248.6,13.97,200.7,3.66,220.07,78,24,55362,19216,2572,13111,201,20262
2021,9,Republic Airline,JFK,John F. Kennedy International Airport (JFK),675,90,45.48,2.69,34.03,0.0,7.79,31,2,6317,3486,319,1789,0,723
2021,9,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),120,20,3.14,0.77,14.94,0.0,1.15,3,2,2361,1418,100,684,0,159
2021,10,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),162,30,14.82,0.02,9.36,0.0,5.8,0,1,1823,1192,1,380,0,250
2021,10,American Airlines,JFK,John F. Kennedy International Airport (JFK),1137,187,83.11,2.83,55.99,1.7,43.37,24,5,11414,5509,137,2107,607,3054
2021,10,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1793,194,87.53,7.77,46.98,1.0,50.71,3,4,22906,11983,2078,2490,75,6280
2021,10,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1007,74,34.4,3.87,19.96,0.0,15.77,0,0,5062,2307,188,1187,0,1380
2021,10,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),27,3,3.0,0.0,0.0,0.0,0.0,0,0,51,51,0,0,0,0
2021,10,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),2843,518,242.17,5.68,120.57,3.25,146.33,11,11,31356,15731,615,4129,117,10764
2021,10,Republic Airline,JFK,John F. Kennedy International Airport (JFK),737,91,36.92,1.68,44.71,0.0,7.69,1,0,4524,2517,31,1601,0,375
2021,10,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),124,16,6.43,0.0,8.6,0.0,0.97,1,2,975,460,0,226,0,289
2021,11,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),298,34,17.34,0.0,13.75,0.0,2.92,3,1,2093,1268,0,546,0,279
2021,11,American Airlines,JFK,John F. Kennedy International Airport (JFK),1337,252,117.82,0.0,78.31,4.48,51.39,29,2,15598,8691,0,2557,228,4122
2021,11,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1861,234,102.76,1.75,65.36,1.86,62.27,1,5,17818,9472,600,2070,70,5606
2021,11,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1243,113,39.93,5.23,36.08,0.0,31.76,1,1,7200,3376,317,1567,0,1940
2021,11,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),29,7,6.27,0.0,0.0,0.0,0.73,0,0,179,168,0,0,0,11
2021,11,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3439,900,330.52,5.83,336.11,3.24,224.3,5,3,50481,20301,3036,10816,212,16116
2021,11,Republic Airline,JFK,John F. Kennedy International Airport (JFK),1802,238,69.52,0.39,106.82,1.0,60.27,4,4,11514,3775,16,3612,34,4077
2021,11,United Air Lines Network,JFK,John F. Kennedy International Airport (JFK),118,19,10.04,0.0,4.41,0.0,4.55,1,0,2749,1341,0,142,0,1266
2021,12,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),333,76,39.38,5.57,15.9,0.0,15.15,12,0,5484,2846,861,795,0,982
2021,12,American Airlines,JFK,John F. Kennedy International Airport (JFK),1367,228,92.74,3.42,61.99,1.48,68.37,19,1,18546,6362,162,1794,30,10198
2021,12,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1877,288,120.79,19.5,49.09,2.59,96.03,45,1,26449,15017,1748,1577,104,8003
2021,12,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1162,93,43.3,2.24,27.88,0.0,19.58,3,0,6641,3624,240,853,0,1924
2021,12,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),31,5,3.0,0.0,0.0,0.0,2.0,0,1,247,210,0,0,0,37
