year,month,airline_name,airport_code,airport_name,total_arrival_flights,delayed_arrivals_15_plus,estimated_delayed_arrivals_due_to_airline,estimated_delayed_arrivals_due_to_weather,estimated_delayed_arrivals_due_to_nas,estimated_delayed_arrivals_due_to_security,estimated_delayed_arrivals_due_to_late_aircraft,cancelled_arrivals,diverted_arrivals,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,internal_ops_count,system_ops_count,external_ops_count,internal_ops_count_rounded,system_ops_count_rounded,external_ops_count_rounded,internal_ops_delay_minutes,system_ops_delay_minutes,external_ops_delay_minutes,delay_rate,cancellation_rate,diversion_rate,avg_delay_minutes_per_delayed_flight,avg_internal_minutes_per_event,avg_system_minutes_per_event,avg_external_minutes_per_event,disruption_impact_minutes,period_label,operational_state
2020,1,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),394,87,27.56,0.18,42.53,0.0,16.73,0,2,3951,1831,7,1298,0,815,44.29,42.53,0.18,44,43,0,2646,1298,7,0.22081218274111675,0.0,0.005076142131979695,45.41379310344828,59.7426055543012,30.51963320009405,38.88888888888889,4431.0,2020-01,normal
2020,1,American Airlines,JFK,John F. Kennedy International Airport (JFK),1309,198,78.14,2.66,68.78,0.12,48.31,4,2,16397,7185,243,3023,2,5944,126.45,68.78,2.7800000000000002,126,69,3,13129,3023,245,0.15126050420168066,0.0030557677616501145,0.0015278838808250573,82.81313131313131,103.82759984183471,43.951730154114564,88.12949640287769,17597.0,2020-01,normal
2020,1,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),2922,321,98.71,4.46,150.03,0.0,67.8,0,3,19880,8266,149,6827,0,4638,166.51,150.03,4.46,167,150,4,12904,6827,149,0.10985626283367557,0.0,0.001026694045174538,61.93146417445483,77.49684703621405,45.50423248683597,33.408071748878925,20600.0,2020-01,normal
2020,1,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1666,195,50.3,5.81,85.38,0.0,53.52,2,0,17962,5883,550,6546,0,4983,103.82,85.38,5.81,104,85,6,10866,6546,550,0.117046818727491,0.0012004801920768306,0.0,92.11282051282052,104.66191485262956,76.66900913562895,94.66437177280551,18322.0,2020-01,normal
2020,1,Envoy Air,JFK,John F. Kennedy International Airport (JFK),334,47,8.04,1.95,20.29,0.54,16.17,10,1,5599,1849,92,1728,19,1911,24.21,20.29,2.49,24,20,2,3760,1728,111,0.1407185628742515,0.029940119760479042,0.0029940119760479044,119.12765957446808,155.30772408095828,85.16510596352883,44.57831325301204,7639.0,2020-01,normal
2020,1,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),31,9,9.0,0.0,0.0,0.0,0.0,0,0,265,265,0,0,0,0,9.0,0.0,0.0,9,0,0,265,0,0,0.2903225806451613,0.0,0.0,29.444444444444443,29.444444444444443,0.0,0.0,265.0,2020-01,normal
2020,1,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3267,507,162.03,9.89,167.41,1.31,166.36,3,12,35674,12103,1422,9110,88,12951,328.39,167.41,11.200000000000001,328,167,11,25054,9110,1510,0.155188246097337,0.0009182736455463728,0.0036730945821854912,70.3629191321499,76.29343159048692,54.41729884714175,134.82142857142856,39094.0,2020-01,normal
2020,1,Republic Airline,JFK,John F. Kennedy International Airport (JFK),379,39,12.12,0.91,17.68,0.0,8.29,0,0,2799,1053,221,1176,0,349,20.409999999999997,17.68,0.91,20,18,1,1402,1176,221,0.10290237467018469,0.0,0.0,71.76923076923077,68.69181773640373,66.5158371040724,242.85714285714286,2799.0,2020-01,normal
2020,2,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),359,57,15.96,0.0,28.38,0.0,12.67,3,0,2481,678,0,711,0,1092,28.630000000000003,28.38,0.0,29,28,0,1770,711,0,0.15877437325905291,0.008356545961002786,0.0,43.526315789473685,61.823262312259864,25.052854122621564,0.0,3021.0,2020-02,normal
2020,2,American Airlines,JFK,John F. Kennedy International Airport (JFK),1217,150,71.43,1.51,36.8,1.0,39.27,4,0,9160,4695,93,1477,15,2880,110.70000000000002,36.8,2.51,111,37,3,7575,1477,108,0.12325390304026294,0.003286770747740345,0.0,61.06666666666667,68.4281842818428,40.1358695652174,43.027888446215144,9880.0,2020-02,normal
