airline_name,total_arrival_flights,delayed_arrivals_15_plus,cancelled_arrivals,diverted_arrivals,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,delay_rate,cancellation_rate,average_delay_minutes_per_delayed_flight
Alaska Airlines,19500,4451,391,100,239570,62682,17620,112471,799,45998,0.22825641025641025,0.02005128205128205,53.823859806784995
American Airlines,76512,16042,1768,290,1337832,482269,62379,300815,4916,487453,0.20966645754914262,0.023107486407360937,83.39558658521382
Delta Air Lines,153673,27882,3058,548,2244825,974305,99535,550237,4313,616435,0.18143720757712806,0.019899396771065836,80.51162040025824
Endeavor Air,96017,14815,3690,110,1320399,362735,87071,442865,567,427161,0.15429559348865304,0.0384306945645042,89.12581842726966
Envoy Air,932,104,99,1,9428,2746,128,2882,19,3653,0.11158798283261803,0.10622317596566523,90.65384615384616
Frontier Airlines,3996,937,47,5,65933,27442,1638,12818,0,24035,0.23448448448448447,0.011761761761761762,70.36606189967983
Hawaiian Airlines,1843,644,7,10,28202,23276,742,182,182,3820,0.3494302767227347,0.0037981551817688553,43.79192546583851
JetBlue Airways,212172,56767,6302,655,4798379,1751727,105335,894817,8785,2037715,0.26755179759817505,0.02970231698810399,84.5276128736766
Piedmont Airlines,8,1,3,0,22,22,0,0,0,0,0.125,0.375,22.0
Republic Airline,82768,13465,2585,132,911877,239676,60116,355334,1105,255646,0.16268364585346995,0.031231877053933887,67.72202005198663
SkyWest Airlines,8109,1747,234,12,140810,83508,31424,25496,367,15,0.21543963497348625,0.02885682574916759,80.60103033772181
United Air Lines Network,2141,392,46,10,28561,12573,100,7707,0,8181,0.18309201307800094,0.02148528724894909,72.85969387755102
