threshold_quantile,threshold_value,exceedance_count,exceedance_share,empirical_var_95_minutes,empirical_tvar_95_minutes,empirical_var_99_minutes,empirical_tvar_99_minutes,fit_status,gpd_shape_xi,gpd_scale_beta,tail_mean_defined,evt_var_95_minutes,evt_tvar_95_minutes,evt_var_99_minutes,evt_tvar_99_minutes,scenario,simulation_runs,tvar_99_stability_flag
0.9,2678011.86,5000,0.1,2786980.82,2912760.08,2988326.7,3103901.0,ok,-0.087808,154156.46,True,2781678.22,2915023.24,2999387.55,3115159.09,base,50000,stable
0.925,2725157.44,3750,0.075,2786980.82,2912760.08,2988326.7,3103901.0,ok,-0.074143,144583.65,True,2782908.64,2913526.14,2995763.43,3111688.62,base,50000,stable
0.95,2786980.82,2500,0.05,2786980.82,2912760.08,2988326.7,3103901.0,ok,-0.048006,131781.98,True,,,2991089.3,3107485.27,base,50000,stable
0.975,2878753.29,1250,0.025,2786980.82,2912760.08,2988326.7,3103901.0,ok,-0.02956,122550.93,True,,,2989538.49,3105390.12,base,50000,stable
0.9,2993625.64,5000,0.1,3117090.18,3267611.65,3360116.33,3494436.38,ok,-0.096537,180589.53,True,3114704.61,3268735.72,3366474.9,3498340.55,disruption_stress,50000,stable
0.925,3046524.49,3750,0.075,3117090.18,3267611.65,3360116.33,3494436.38,ok,-0.086057,171917.21,True,3115028.81,3267895.5,3364552.14,3497647.11,disruption_stress,50000,stable
0.95,3117090.18,2500,0.05,3117090.18,3267611.65,3360116.33,3494436.38,ok,-0.071494,161270.8,True,,,3362269.34,3496420.41,disruption_stress,50000,stable
0.975,3226845.11,1250,0.025,3117090.18,3267611.65,3360116.33,3494436.38,ok,-0.048196,147933.43,True,,,3359445.68,3494480.23,disruption_stress,50000,stable
0.9,3046923.59,5000,0.1,3164840.38,3308261.59,3399301.49,3523212.29,ok,-0.122451,176822.1,True,3164430.0,3309142.97,3401707.69,3520535.37,holiday_peak,50000,stable
0.925,3097555.61,3750,0.075,3164840.38,3308261.59,3399301.49,3523212.29,ok,-0.115476,168578.35,True,3164332.74,3308546.68,3400603.2,3520358.01,holiday_peak,50000,stable
0.95,3164840.38,2500,0.05,3164840.38,3308261.59,3399301.49,3523212.29,ok,-0.109568,159213.4,True,,,3399762.57,3520055.73,holiday_peak,50000,stable
0.975,3269514.44,1250,0.025,3164840.38,3308261.59,3399301.49,3523212.29,ok,-0.132662,153402.97,True,,,3401868.95,3521802.92,holiday_peak,50000,stable
0.9,2802240.97,5000,0.1,2910545.4,3043666.22,3126927.82,3244039.58,ok,-0.093547,158039.84,True,2908309.85,3043756.69,3129617.99,3246133.18,weather_shock,50000,stable
0.925,2846825.55,3750,0.075,2910545.4,3043666.22,3126927.82,3244039.58,ok,-0.098022,155059.02,True,2908463.58,3044177.83,3130336.22,3246243.67,weather_shock,50000,stable
0.95,2910545.4,2500,0.05,2910545.4,3043666.22,3126927.82,3244039.58,ok,-0.079088,143644.83,True,,,3127624.11,3244830.89,weather_shock,50000,stable
0.975,3006605.66,1250,0.025,2910545.4,3043666.22,3126927.82,3244039.58,ok,-0.082649,137167.51,True,,,3127649.78,3245105.54,weather_shock,50000,stable
