year,month,airlines_in_sample,total_arrival_flights,delayed_arrivals_15_plus,cancelled_arrivals,diverted_arrivals,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,period,period_label,delay_rate,cancellation_rate,diversion_rate,avg_delay_minutes_per_delayed_flight
2020,1,8,10302,1403,19,20,102527,38435,2684,29708,109,31591,2020-01-01,2020-01,0.13618714812657737,0.0018443020772665503,0.0019413706076490001,73.07697790449038
2020,2,8,9764,1163,23,3,77578,33214,1166,12271,53,30874,2020-02-01,2020-02,0.11911102007374028,0.002355591970503892,0.0003072511265874642,66.70507308684437
2020,3,8,10826,729,1900,15,49261,20901,680,10441,133,17106,2020-03-01,2020-03,0.06733789026417883,0.17550341769813413,0.0013855532976168484,67.57338820301783
2020,4,7,2548,57,1178,0,3266,2088,176,293,0,709,2020-04-01,2020-04,0.022370486656200943,0.46232339089481944,0.0,57.29824561403509
2020,5,6,991,51,73,1,3113,2450,159,366,0,138,2020-05-01,2020-05,0.05146316851664985,0.07366296670030273,0.0010090817356205853,61.03921568627451
2020,6,6,1887,103,24,0,6060,3863,137,1057,26,977,2020-06-01,2020-06,0.054583995760466346,0.012718600953895072,0.0,58.83495145631068
2020,7,6,3343,305,122,6,20409,10225,1221,3075,62,5826,2020-07-01,2020-07,0.09123541728985941,0.03649416691594376,0.0017947950942267424,66.91475409836066
2020,8,6,3440,282,78,19,17415,7565,1572,3652,77,4549,2020-08-01,2020-08,0.08197674418604652,0.022674418604651164,0.005523255813953488,61.755319148936174
2020,9,6,3063,117,16,0,6111,3721,341,765,67,1217,2020-09-01,2020-09,0.03819784524975514,0.005223636957231472,0.0,52.23076923076923
2020,10,6,3523,197,4,1,16518,10996,323,853,85,4261,2020-10-01,2020-10,0.05591825149020721,0.0011353959693443088,0.0002838489923360772,83.84771573604061
2020,11,6,3647,270,33,11,18836,9330,161,3004,125,6216,2020-11-01,2020-11,0.07403345215245408,0.009048533040855497,0.003016177680285166,69.76296296296296
2020,12,7,3704,594,97,2,38443,16581,1173,8304,78,12307,2020-12-01,2020-12,0.1603671706263499,0.026187904967602593,0.0005399568034557236,64.71885521885523
2021,1,7,3262,422,45,3,28428,14219,454,6125,198,7432,2021-01-01,2021-01,0.12936848559166156,0.013795217657878603,0.0009196811771919068,67.36492890995261
2021,2,7,3282,463,221,9,46974,17311,9500,4995,203,14965,2021-02-01,2021-02,0.14107251675807433,0.06733698964046313,0.002742230347349177,101.45572354211663
2021,3,8,4578,361,12,6,23649,15147,521,2389,227,5365,2021-03-01,2021-03,0.07885539536915684,0.002621231979030144,0.001310615989515072,65.50969529085873
2021,4,8,5350,605,35,1,50695,26503,3907,4994,868,14423,2021-04-01,2021-04,0.1130841121495327,0.0065420560747663555,0.00018691588785046728,83.79338842975207
2021,5,9,6664,808,5,10,58305,34036,1264,6014,577,16414,2021-05-01,2021-05,0.1212484993997599,0.0007503001200480192,0.0015006002400960385,72.15965346534654
