scenario,scenario_type,drivers,shock_level_pct,metric,metric_value_minutes,pct_change_vs_base
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,Expected Impact,2492592.69,6.110171151618942
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,VaR 95%,2952938.4,6.096599458679758
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,TVaR 95%,3092824.06,6.191183501627724
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,VaR 99%,3179090.56,6.192499142985145
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,TVaR 99%,3296431.06,6.067324573476715
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,EVT VaR 99%,3181890.68,6.2744336891081876
external_cancel_divert_plus_20pct,combination,"external,cancel,divert",20.0,EVT TVaR 99%,3299284.81,6.1602031672323125
external_system_plus_20pct,combination,"external,system",20.0,Expected Impact,2452943.94,4.42231590542236
external_system_plus_20pct,combination,"external,system",20.0,VaR 95%,2903398.09,4.316657680304417
external_system_plus_20pct,combination,"external,system",20.0,TVaR 95%,3032317.76,4.113717896841732
external_system_plus_20pct,combination,"external,system",20.0,VaR 99%,3112459.03,3.9667781202971923
external_system_plus_20pct,combination,"external,system",20.0,TVaR 99%,3227019.63,3.833913790446666
external_system_plus_20pct,combination,"external,system",20.0,EVT VaR 99%,3113961.11,4.005601315993889
external_system_plus_20pct,combination,"external,system",20.0,EVT TVaR 99%,3225563.82,3.788102628240189
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,Expected Impact,2698026.76,14.855540748315324
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,VaR 95%,3209391.29,15.310736655158653
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,TVaR 95%,3358426.55,15.310565078761218
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,VaR 99%,3449665.37,15.23062332873919
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,TVaR 99%,3580994.6,15.22355833343817
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,EVT VaR 99%,3452556.93,15.314625615973688
internal_cancel_plus_20pct,combination,"internal,cancel",20.0,EVT TVaR 99%,3582325.16,15.267516658159625
internal_system_plus_20pct,combination,"internal,system",20.0,Expected Impact,2672598.95,13.77307377248912
internal_system_plus_20pct,combination,"internal,system",20.0,VaR 95%,3171987.85,13.96686243412622
internal_system_plus_20pct,combination,"internal,system",20.0,TVaR 95%,3318111.83,13.926371297839612
internal_system_plus_20pct,combination,"internal,system",20.0,VaR 99%,3404385.35,13.718115775307197
internal_system_plus_20pct,combination,"internal,system",20.0,TVaR 99%,3534071.12,13.713729099127702
internal_system_plus_20pct,combination,"internal,system",20.0,EVT VaR 99%,3409999.59,13.893220023304217
internal_system_plus_20pct,combination,"internal,system",20.0,EVT TVaR 99%,3539735.2,13.897110928778444
base_reference,reference,none,0.0,Expected Impact,2349061.04,0.0
base_reference,reference,none,0.0,VaR 95%,2783254.52,0.0
base_reference,reference,none,0.0,TVaR 95%,2912505.5,0.0
base_reference,reference,none,0.0,VaR 99%,2993705.38,0.0
base_reference,reference,none,0.0,TVaR 99%,3107866.7,0.0
base_reference,reference,none,0.0,EVT VaR 99%,2994032.12,0.0
base_reference,reference,none,0.0,EVT TVaR 99%,3107835.81,0.0
cancel_plus_10pct,single_factor,cancel,10.0,Expected Impact,2404490.37,2.359637704433601
cancel_plus_10pct,single_factor,cancel,10.0,VaR 95%,2851620.32,2.4563258411595004
cancel_plus_10pct,single_factor,cancel,10.0,TVaR 95%,2984420.76,2.469188813549014
cancel_plus_10pct,single_factor,cancel,10.0,VaR 99%,3073825.66,2.6762914124836246
cancel_plus_10pct,single_factor,cancel,10.0,TVaR 99%,3183072.48,2.4198521770576518
