scenario,simulation_runs,expected_impact_minutes,var_95_minutes,tvar_95_minutes,var_99_minutes,tvar_99_minutes,threshold_quantile,fit_status,gpd_shape_xi,gpd_scale_beta,tail_mean_defined,evt_var_95_minutes,evt_tvar_95_minutes,evt_var_99_minutes,evt_tvar_99_minutes,scenario_type,drivers,shock_level_pct,expected_impact_pct_change_vs_base,var_95_pct_change_vs_base,tvar_95_pct_change_vs_base,var_99_pct_change_vs_base,tvar_99_pct_change_vs_base,evt_var_95_pct_change_vs_base,evt_tvar_95_pct_change_vs_base,evt_var_99_pct_change_vs_base,evt_tvar_99_pct_change_vs_base
external_cancel_divert_plus_20pct,50000,2494289.84,2953016.8,3096629.22,3183374.21,3301668.87,0.95,ok,-0.111269,159421.61,True,,,3187933.91,3307871.12,combination,"external,cancel,divert",20.0,6.176862768223284,6.134536264117341,6.463093522406938,6.507402404734069,6.522594808148767,,,6.677205241149043,6.734333794168499
external_system_plus_20pct,50000,2452046.6,2899197.14,3032039.25,3115729.7,3224996.26,0.95,ok,-0.126513,149658.71,True,,,3117124.51,3225501.46,combination,"external,system",20.0,4.378653665000101,4.20020095793404,4.242469893233962,4.244193440984553,4.048886604965674,,,4.307724219880739,4.07653049228164
internal_cancel_plus_20pct,50000,2699416.91,3216279.91,3363342.79,3456294.78,3581980.08,0.95,ok,-0.087012,159813.62,True,,,3456292.28,3584101.21,combination,"internal,cancel",20.0,14.908706362405491,15.596489916158655,15.632790547549977,15.638613206846893,15.566347715753912,,,15.657228580048868,15.647388009549537
internal_system_plus_20pct,50000,2672648.78,3176486.22,3323458.19,3418390.92,3547581.41,0.95,ok,-0.08377,159322.29,True,,,3416371.34,3544836.91,combination,"internal,system",20.0,13.769241325105739,14.166262755111674,14.261545365053182,14.370448861910301,14.456534548345267,,,14.321362018812788,14.3804556683662
base_reference,50000,2349183.97,2782333.54,2908641.03,2988876.02,3099500.98,0.95,ok,-0.081597,136622.67,True,,,2988392.79,3099163.13,reference,none,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
cancel_plus_10pct,50000,2406067.72,2855040.6,2987751.51,3065731.54,3184660.16,0.95,ok,-0.08876,144477.81,True,,,3071723.29,3186757.79,single_factor,cancel,10.0,2.4214259388122756,2.61316836945437,2.7198433627266816,2.5713853463885066,2.7475126012058935,,,2.7884721271864668,2.8263972022666697
divert_plus_10pct,50000,2357953.86,2793028.6,2921711.38,3002751.39,3109623.24,0.95,ok,-0.085047,139573.08,True,,,3002967.08,3115144.98,single_factor,divert,10.0,0.3733164414534833,0.3843917289657535,0.4493627733773698,0.46423370883079024,0.32657708661218887,,,0.4876965989467548,0.5156827611071927
external_plus_10pct,50000,2356933.31,2795250.01,2923567.03,3000323.83,3115172.59,0.95,ok,-0.051587,134908.06,True,,,3003606.96,3121675.73,single_factor,external,10.0,0.32987369652449355,0.4642315457261727,0.5131606082033436,0.3830138795787206,0.5056171977722643,,,0.5091087774977507,0.726409003194359
internal_plus_10pct,50000,2467138.63,2926382.33,3065540.54,3151978.43,3273146.33,0.95,ok,-0.092475,151955.99,True,,,3153616.73,3273475.21,single_factor,internal,10.0,5.021090791795232,5.177265339654427,5.394254855849305,5.456981450839843,5.602364739371693,,,5.52885619831789,5.624488698663631
system_plus_10pct,50000,2392212.27,2833059.97,2958690.64,3037724.26,3141157.71,0.95,ok,-0.11311,139773.61,True,,,3038728.93,3143400.04,single_factor,system,10.0,1.831627516171065,1.8231613597268488,1.7207214463312561,1.6343347690948973,1.3439818302622373,,,1.684388349765766,1.427382430172372
cancel_plus_20pct,50000,2463006.44,2921263.43,3054353.64,3139956.76,3260844.28,0.95,ok,-0.032292,137386.69,True,,,3136731.06,3263079.69,single_factor,cancel,20.0,4.845191839104867,4.993286678346987,5.009645690104301,5.054767711642979,5.205460525455289,,,4.963814345168462,5.289058791816488
divert_plus_20pct,50000,2361265.71,2796308.45,2930905.81,3010533.08,3134261.86,0.95,ok,-0.067742,143670.95,True,,,3015378.76,3136035.95,single_factor,divert,20.0,0.5142951831056364,0.5022729949192271,0.7654701893550702,0.7245887703297929,1.12149924211348,,,0.903026204932041,1.1897669936464526
external_plus_20pct,50000,2364640.47,2801596.09,2925894.24,3003915.68,3106843.07,0.95,ok,-0.082838,134502.74,True,,,3004259.95,3112969.15,single_factor,external,20.0,0.6579518759443944,0.6923163496781846,0.5931708252083768,0.5031878170711193,0.23687974442904844,,,0.5309596533995167,0.4454757436405104
internal_plus_20pct,50000,2587599.48,3081294.16,3226960.11,3314091.33,3440277.02,0.95,ok,-0.119162,163017.75,True,,,3320036.42,3440277.18,single_factor,internal,20.0,10.148865012049258,10.744959786525095,10.943910806346567,10.88085647660956,10.994545321937599,,,11.097725543635779,11.006650366287761
system_plus_20pct,50000,2436506.03,2884141.04,3010969.0,3092470.59,3197200.41,0.95,ok,-0.079516,136849.69,True,,,3090881.1,3202422.27,single_factor,system,20.0,3.7171230995586773,3.6590688548433343,3.518068023677718,3.4660042540004663,3.152101923194106,,,3.429546154138595,3.331839456931076
cancel_plus_30pct,50000,2513965.14,2990275.06,3123368.12,3209631.43,3325520.53,0.95,ok,-0.078664,143555.16,True,,,3207290.78,3324550.54,single_factor,cancel,30.0,7.014400409006703,7.473637398627629,7.382385374657262,7.385900536617111,7.292127070080805,,,7.324940373718401,7.2725248896465855
divert_plus_30pct,50000,2369638.46,2805652.92,2931337.39,3006617.3,3117437.31,0.95,ok,-0.098806,138093.58,True,,,3011134.98,3118333.72,single_factor,divert,30.0,0.8707061797292852,0.8381230957665804,0.7803080464693966,0.5935769794827352,0.578684443584208,,,0.7610174297067537,0.6185731178339204
external_plus_30pct,50000,2374069.77,2814287.06,2945073.65,3027858.79,3139392.89,0.95,ok,-0.081988,141460.41,True,,,3027577.08,3142156.1,single_factor,external,30.0,1.0593380645279906,1.1484431877279537,1.2525650165912745,1.3042618609519983,1.2870429871585376,,,1.3112161872134633,1.387244497839654
internal_plus_30pct,50000,2706100.99,3235290.29,3390948.5,3488900.18,3628848.91,0.95,ok,-0.063849,165585.71,True,,,3488554.48,3629001.98,single_factor,internal,30.0,15.193234099924494,16.279743010250307,16.581883602185187,16.729504892611775,17.07848887339278,,,16.736812231433603,17.096191061101067
system_plus_30pct,50000,2479806.84,2931113.11,3064105.3,3150986.87,3256311.41,0.95,ok,-0.110497,147566.37,True,,,3148692.07,3259925.78,single_factor,system,30.0,5.560350814074371,5.34729455908438,5.344910849999253,5.423806438113819,5.059215370856252,,,5.364063269607868,5.187292286869711
